Transition ID,시작 화면,Action,Target ID,도착 화면,설명,출처 원본 행번호
TR_CHATROOM_TO_CHATROOM_SETTINGS,SCR_CHATROOM,BACK,TGT_BACK_BUTTON,SCR_CHATROOM_SETTINGS,채팅방에서 채팅방 설정/관리(으)로 이동,874
TR_CHATROOM_TO_CHATROOM_SIDE_MENU,SCR_CHATROOM,VERIFY,해당없음,SCR_CHATROOM_SIDE_MENU,채팅방에서 채팅방 사이드 메뉴(으)로 이동,9 10
TR_CHATROOM_TO_CHAT_LIST,SCR_CHATROOM,BACK,TGT_BACK_BUTTON,SCR_CHAT_LIST,채팅방에서 채팅 목록(으)로 이동,11 193 918
TR_CHATROOM_TO_CHAT_SEARCH,SCR_CHATROOM,INPUT,TGT_SEARCH_BUTTON,SCR_CHAT_SEARCH,채팅방에서 채팅방 검색(타임머신)(으)로 이동,37 182 338
TR_CHATROOM_TO_PLUS_MENU,SCR_CHATROOM,INPUT,TGT_ATTACH_BUTTON,SCR_PLUS_MENU,채팅방에서 플러스(+) 메뉴(으)로 이동,123 124
TR_CHATROOM_SIDE_MENU_TO_CHATROOM_SETTINGS,SCR_CHATROOM_SIDE_MENU,TAP,해당없음,SCR_CHATROOM_SETTINGS,채팅방 사이드 메뉴에서 채팅방 설정/관리(으)로 이동,714
TR_PLUS_MENU_TO_TALK_CLOUD,SCR_PLUS_MENU,VERIFY,해당없음,SCR_TALK_CLOUD,플러스(+) 메뉴에서 톡클라우드(으)로 이동,417
